Liczba procesów potomnych     Dokładność obliczeń     Czas realizacji
          1                       0.00000001             2.822682 s
          2                       0.00000001             1.421507 s
          4                       0.00000001             0.714126 s

          1                       0.000000001            28.525276 s
          2                       0.000000001            14.095632 s
          3                       0.000000001            11.490980 s
          4                       0.000000001            7.928783 s
          6                       0.000000001            5.736312 s
          8                       0.000000001            3.529820 s
          10                      0.000000001            4.732165 s
          100                     0.000000001            4.300763 s
          1000                    0.000000001            4.342339 s

          8                       0.0000000001           35.254980 s
                    
